timestamp,outdoor_C,rh_pct,solar_W_m2
2026-01-01T00:00:00,11.363488470194865,60.0,0.0
2026-01-01T01:00:00,10.7278139798033,60.0,0.0
2026-01-01T02:00:00,10.328212289784782,60.0,0.0
2026-01-01T03:00:00,10.191915594941054,60.0,0.0
2026-01-01T04:00:00,10.328212289784782,60.0,0.0
2026-01-01T05:00:00,10.727813979803301,60.0,0.0
2026-01-01T06:00:00,11.363488470194865,60.0,0.0
2026-01-01T07:00:00,12.191915594941054,60.0,194.11428382689056
2026-01-01T08:00:00,13.156639414530972,60.0,374.99999999999994
2026-01-01T09:00:00,14.191915594941054,60.0,530.3300858899106
2026-01-01T10:00:00,15.227191775351137,60.0,649.519052838329
2026-01-01T11:00:00,16.191915594941054,60.0,724.4443697168012
2026-01-01T12:00:00,17.020342719687243,60.0,750.0
2026-01-01T13:00:00,17.656017210078808,60.0,724.4443697168012
2026-01-01T14:00:00,18.05561890009733,60.0,649.519052838329
2026-01-01T15:00:00,18.191915594941054,60.0,530.3300858899107
2026-01-01T16:00:00,18.05561890009733,60.0,374.99999999999994
2026-01-01T17:00:00,17.656017210078808,60.0,194.11428382689076
2026-01-01T18:00:00,17.020342719687246,60.0,9.184850993605149e-14
2026-01-01T19:00:00,16.191915594941054,60.0,0.0
2026-01-01T20:00:00,15.22719177535114,60.0,0.0
2026-01-01T21:00:00,14.191915594941054,60.0,0.0
2026-01-01T22:00:00,13.156639414530972,60.0,0.0
2026-01-01T23:00:00,12.191915594941056,60.0,0.0
2026-01-02T00:00:00,11.33466334208989,60.0,0.0
2026-01-02T01:00:00,10.698988851698324,60.0,0.0
2026-01-02T02:00:00,10.299387161679807,60.0,0.0
2026-01-02T03:00:00,10.16309046683608,60.0,0.0
2026-01-02T04:00:00,10.299387161679807,60.0,0.0
2026-01-02T05:00:00,10.698988851698324,60.0,0.0
2026-01-02T06:00:00,11.33466334208989,60.0,0.0
2026-01-02T07:00:00,12.16309046683608,60.0,194.11428382689056
2026-01-02T08:00:00,13.127814286425997,60.0,374.99999999999994
2026-01-02T09:00:00,14.16309046683608,60.0,530.3300858899106
2026-01-02T10:00:00,15.198366647246162,60.0,649.519052838329
2026-01-02T11:00:00,16.163090466836078,60.0,724.4443697168012
2026-01-02T12:00:00,16.99151759158227,60.0,750.0
2026-01-02T13:00:00,17.627192081973835,60.0,724.4443697168012
2026-01-02T14:00:00,18.026793771992352,60.0,649.519052838329
2026-01-02T15:00:00,18.16309046683608,60.0,530.3300858899107
2026-01-02T16:00:00,18.026793771992352,60.0,374.99999999999994
2026-01-02T17:00:00,17.627192081973835,60.0,194.11428382689076
2026-01-02T18:00:00,16.99151759158227,60.0,9.184850993605149e-14
2026-01-02T19:00:00,16.163090466836078,60.0,0.0
2026-01-02T20:00:00,15.198366647246164,60.0,0.0
2026-01-02T21:00:00,14.16309046683608,60.0,0.0
2026-01-02T22:00:00,13.127814286425997,60.0,0.0
2026-01-02T23:00:00,12.163090466836081,60.0,0.0
